Task_ID,Task_Name,Milestone,Week_Start,Week_End,Duration_Days,Agent_Vector,Critical_Path,Dependencies,Estimated_Hours,Parallel_Group,Status
1.1.1,Repository Setup,Foundation & Setup,1,1,0.5,DEV,Yes,,4,A,Not Started
1.1.2,Development Environment Configuration,Foundation & Setup,1,1,0.75,DEV,Yes,1.1.1,6,A,Not Started
1.1.3,CI/CD Pipeline Setup,Foundation & Setup,1,1,1,DEVOPS,Yes,1.1.2,8,B,Not Started
1.1.4,Project Documentation Structure,Foundation & Setup,1,1,0.5,ARCH,No,1.1.1,4,A,Not Started
1.2.1,Platform Evaluation,Foundation & Setup,1,1,0.75,ARCH,Yes,1.1.1,6,A,Not Started
1.2.2,Cryptographic Library Selection,Foundation & Setup,1,2,1,CRYPTO,Yes,1.2.1,8,A,Not Started
1.2.3,Biometric Library Selection,Foundation & Setup,1,2,0.75,DEV+SEC,No,1.2.1,6,B,Not Started
1.2.4,Architecture Documentation,Foundation & Setup,2,2,0.75,ARCH,Yes,1.2.2,6,A,Not Started
1.3.1,VPS Selection and Setup,Foundation & Setup,2,2,0.5,DEVOPS,Yes,1.2.4,4,A,Not Started
1.3.2,Operating System Hardening,Foundation & Setup,2,2,0.75,DEVOPS,Yes,1.3.1,6,A,Not Started
1.3.3,Tor Hidden Service Configuration,Foundation & Setup,2,2,1,DEVOPS+SEC,Yes,1.3.2,8,A,Not Started
1.3.4,Database Setup,Foundation & Setup,2,2,0.75,DEVOPS,Yes,1.3.3,6,A,Not Started
1.3.5,SSL/TLS Configuration,Foundation & Setup,2,2,0.5,DEVOPS,No,1.3.4,4,B,Not Started
1.4.1,Repository Forking,Foundation & Setup,2,2,0.25,DEV,Yes,1.2.4,2,C,Not Started
1.4.2,Local Development Setup,Foundation & Setup,2,2,1,DEV,Yes,1.4.1,8,C,Not Started
1.4.3,Test Suite Verification,Foundation & Setup,2,2,0.75,QA,No,1.4.2,6,D,Not Started
1.4.4,Customization Planning,Foundation & Setup,2,2,0.75,ARCH+DEV,Yes,1.4.2,6,C,Not Started
2.1.1,Persian Language Pack Creation,Platform Customization,3,3,1.5,UX+DEV,Yes,1.4.4,12,A,Not Started
2.1.2,Custom Theme Development,Platform Customization,3,3,1,UX,No,2.1.1,8,B,Not Started
2.1.3,UI Simplification,Platform Customization,3,3,1,UX+DEV,Yes,2.1.1,8,A,Not Started
2.2.1,Registration Form Development,Platform Customization,3,3,1,DEV,Yes,2.1.3,8,A,Not Started
2.2.2,Email Verification System,Platform Customization,3,4,1,DEV,Yes,2.2.1,8,A,Not Started
2.2.3,Social Vouching Database Schema,Platform Customization,4,4,0.75,DEV,Yes,2.2.2,6,A,Not Started
2.2.4,Vouching Request System,Platform Customization,4,4,1.25,DEV,Yes,2.2.3,10,A,Not Started
2.2.5,Admin Vouching Oversight Panel,Platform Customization,4,4,1,DEV,No,2.2.4,8,B,Not Started
2.2.6,User Profile Management,Platform Customization,4,4,1,DEV,No,2.2.4,8,B,Not Started
2.3.1,TOTP Library Integration,Platform Customization,4,4,0.75,DEV,No,2.2.2,6,C,Not Started
2.3.2,QR Code Generation,Platform Customization,4,4,0.5,DEV,No,2.3.1,4,C,Not Started
2.3.3,Backup Codes System,Platform Customization,4,4,0.75,DEV,No,2.3.2,6,C,Not Started
2.3.4,2FA Login Flow,Platform Customization,4,4,0.75,DEV,No,2.3.3,6,C,Not Started
2.4.1,Face Detection Library Integration,Platform Customization,4,4,1,DEV,Yes,2.2.4,8,A,Not Started
2.4.2,Liveness Detection Implementation,Platform Customization,4,5,1.5,DEV+SEC,Yes,2.4.1,12,A,Not Started
2.4.3,Face Embedding Generation,Platform Customization,5,5,1.25,DEV,Yes,2.4.2,10,A,Not Started
2.4.4,Duplicate Detection System,Platform Customization,5,5,1.5,DEV+SEC,Yes,2.4.3,12,A,Not Started
